Country,Year,Type,Total affected,Total damage ('000 US$),Total death
Indonesia,2000,Flood,386021,0,0
Indonesia,2002,Flood,500750,350000,0
Indonesia,2003,Flood,350000,0,0
Indonesia,2004,Earthquake,532898,4451600,165708
Indonesia,2004,Epidemic,0,0,658
Indonesia,2005,Earthquake,0,0,915
Indonesia,2006,Earthquake,3177923,3100000,5778
Indonesia,2006,Earthquake,0,0,802
Indonesia,2006,Flood,618486,0,0
Indonesia,2007,Earthquake,0,200000,0
Indonesia,2007,Earthquake,459567,500000,
Indonesia,2007,Epidemic,0,0,365
Indonesia,2007,Flood,0,971000,0
Indonesia,2007,Flood,269515,0,0
Indonesia,2009,Earthquake,339792,0,0
Indonesia,2009,Earthquake,2501798,2200000,1195
Indonesia,2010,Earthquake,0,0,530
Indonesia,2010,Flood,0,0,291
Indonesia,2010,Volcanic activity,0,0,322
Indonesia,2013,Flood,0,3000000,0
Indonesia,2014,Flood,0,600000,0
Indonesia,2014,Flood,0,173000,0
